caller_service,callee_service,operation,timestamp,time,interval_number
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,/api/v1/travel2service/trips/left,1675078732,2023-01-30 11:38:52.052,0
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travels,1675078732,2023-01-30 11:38:52.060,0
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/idlist,1675078732,2023-01-30 11:38:52.064,0
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byNames,1675078732,2023-01-30 11:38:52.070,0
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/byIds/,1675078732,2023-01-30 11:38:52.077,0
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes,1675078732,2023-01-30 11:38:52.755,0
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078732,2023-01-30 11:38:52.769,0
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078732,2023-01-30 11:38:52.775,0
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078732,2023-01-30 11:38:52.783,0
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078732,2023-01-30 11:38:52.815,0
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078732,2023-01-30 11:38:52.819,0
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078732,2023-01-30 11:38:52.824,0
ts-gateway-service-6f6cfc45b-d9pnv,ts-auth-service-7f8d7d756d-kzp47,/api/v1/users/login,1675078733,2023-01-30 11:38:53.046,0
ts-auth-service-7f8d7d756d-kzp47,ts-verification-code-service-7b6dc75c45-r66rb,/api/v1/verifycode/verify/{verifyCode},1675078733,2023-01-30 11:38:53.054,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,/api/v1/travel2service/trips/left,1675078733,2023-01-30 11:38:53.384,1
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,/api/v1/basicservice/basic/travels,1675078733,2023-01-30 11:38:53.391,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,/api/v1/stationservice/stations/idlist,1675078733,2023-01-30 11:38:53.394,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,/api/v1/trainservice/trains/byNames,1675078733,2023-01-30 11:38:53.399,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,/api/v1/routeservice/routes/byIds/,1675078733,2023-01-30 11:38:53.405,1
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes,1675078733,2023-01-30 11:38:53.423,1
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078733,2023-01-30 11:38:53.435,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078733,2023-01-30 11:38:53.440,1
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078733,2023-01-30 11:38:53.446,1
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,/api/v1/seatservice/seats/left_tickets,1675078733,2023-01-30 11:38:53.454,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,/api/v1/orderOtherService/orderOther/tickets,1675078733,2023-01-30 11:38:53.458,1
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,/api/v1/configservice/configs/{configName},1675078733,2023-01-30 11:38:53.463,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-food-service-f5756978c-6sb8t,/api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},1675078733,2023-01-30 11:38:53.504,1
ts-food-service-f5756978c-6sb8t,ts-train-food-service-59bbbdd99b-cz98n,/api/v1/trainfoodservice/trainfoods/{tripId},1675078733,2023-01-30 11:38:53.510,1
ts-food-service-f5756978c-6sb8t,ts-travel-service-64469b5b48-5rjvb,/api/v1/travelservice/routes/{tripId},1675078733,2023-01-30 11:38:53.523,1
